isbn;titulo;autor;paginas;ano_publicacao;genero;subgenero;tipo;pais_autor;nome_serie;num_serie;formato;avaliacao;data_inicio;data_termino;preco;data_compra;tipo_aquisicao;Status
9788581220307;Jogos Vorazes;Suzanne Collins;393;2008;Ficção Cientifica;Distopia;Ficção;Estados Unidos;Jogos Vorazes;1;Ebook;5.0;2022-10-13;2022-10-17;;;Kindle;concluido
9788580417661;Origem;Dan Brown;432;2017;Suspense;Investigativo;Ficção;Estados Unidos;;;Ebook;5.0;2021-06-13;2021-06-27;;;Kindle;concluido
9788576832478;Mazer Runner - Correr ou morrer;James Dashner;428;2009;Ficção Cientifica;Distopia;Ficção;Estados Unidos;Mazer Runner;1;Ebook;5.0;2020-09-20;2020-09-24;;;Kindle;concluido
9788599296677;Ponto de Impacto;Dan Brown;400;1993;Suspense;Policial;Ficção;Estados Unidos;;;Ebook;5.0;2021-04-22;2021-05-08;;;Kindle;concluido
9786555320749;Jogos Vorazes - Em Chamas;Suzanne Collins;416;2009;Ficção Cientifica;Distopia;Ficção;Estados Unidos;Jogos Vorazes;2;Ebook;5.0;2026-02-02;2026-02-12;;;Kindle;concluido
9788595081536;O homem mais rico da Babilônia;George S. Clason;160;1926;Desenvolvimento Pessoal;Finanças;Não Ficção;Estados Unidos;;;Fisico;5.0;2021-04-16;2021-05-08; R$ 15,00 ;2021-03-21;Comprado;concluido
9788551009833;O massacre da família Hope;Riley Sager;400;2018;Suspense;Thriller Psicologico;Ficção;Estados Unidos;;;Fisico;5.0;2025-12-09;2025-12-15;;;Presente;concluido
9788501116437;A paciente silenciosa;Alex Michaelides;364;2019;Suspense;Thriller Psicologico;Ficção;Chipre;;;Ebook;5.0;2024-03-31;2024-04-10;;;Kindle;concluido
9788532511010;Harry Potter e a Pedra Filosofal;J. K. Rowling;264;1997;Fantasia;Fantasia Fantastica;Ficção;Reino Unido;Harry Potter;1;Ebook;4.5;2024-09-12;2024-10-04;;;Kindle;concluido
9788599577301;O Pequeno Príncipe;Antoine de Saint Exupéry;64;1943;Fantasia;Fantasia Filosofica;Ficção;França;;;Ebook;4.5;2025-08-18;2025-12-03;;;Kindle;concluido
9786558380542;A Biblioteca da Meia-Noite;Matt Haig;308;2020;Fantasia;Fantasia Contemporanea;Ficção;Reino Unido;;;Ebook;4.5;2024-09-09;2024-09-12;;;Kindle;concluido
9786557822517;Devoradores de estrelas;Andy Weir;424;2021;Ficção Cientifica;Espaço;Ficção;Estados Unidos;;;Ebook;4.5;2025-07-14;2025-08-11;;;Kindle;concluido
9788551001226;Matéria escura;Blake Crouch;352;2016;Ficção Cientifica;Multiverso;Ficção;Estados Unidos;;;Fisico;4.5;2022-08-09;2022-08-31; R$ 150,00 ;2022-08-03;Comprado;concluido
9788537810873;Um Estudo em Vermelho;Arthur Conan Doyle;169;1887;Suspense;Policial;Ficção;Reino Unido;;;Ebook;4.5;2021-05-09;2021-05-12;;;Kindle;concluido
9788535931761;Uma mulher no escuro;Raphael Montes;256;2019;Suspense;Thriller Psicologico;Ficção;Brasil;;;Ebook;4.5;2025-08-12;2025-08-14;;;Kindle;concluido
9788543810263;Suicidas;Raphael Montes;484;2012;Suspense;Thriller Psicologico;Ficção;Brasil;;;Ebook;4.5;2024-09-02;2024-09-08;;;Kindle;concluido
9788581052984;Joyland;Stephen King;240;2013;Suspense;Policial;Ficção;Estados Unidos;;;Ebook;4.5;2026-01-06;2026-01-12;;;Kindle;concluido
9788576573999;Flores para Algernon;Daniel Keyes;311;1966;Ficção Cientifica;Drama;Ficção;Estados Unidos;;;Ebook;4.0;2025-04-17;2025-04-19;;;Kindle;concluido
9788580579000;Lugar nenhum;Neil Gaiman;100;1996;Fantasia;Fantasia Urbana;Ficção;Reino Unido;;;Ebook;4.0;2021-05-14;2021-06-03;;;Kindle;concluido
9788576832997;Mazer Runner - Prova de fogo;James Dashner;400;2010;Ficção Cientifica;Distopia;Ficção;Estados Unidos;Mazer Runner;2;Ebook;4.0;2020-09-25;2020-10-05;;;Kindle;concluido
9788576833888;Mazer Runner - A cura mortal;James Dashner;368;2011;Ficção Cientifica;Distopia;Ficção;Estados Unidos;Mazer Runner;3;Ebook;4.0;2021-05-15;2021-05-16;;;Kindle;concluido
9786555613056;Viagem ao centro da Terra;Júlio Verne;304;1864;Ficção Cientifica;Aventura Cientifica;Ficção;França;;;Fisico;4.0;2017-06-01;2017-12-31; R$ 65,00 ;2017-05-01;Comprado;concluido
